Reporting Start,Reporting End,Campaign Name,Campaign Type,Ad Set Name,Ad Name,Delivery,Attribution Setting,Result Type,Spend (BRL),Impressions,Link Clicks,Conversions,Reach,Frequency
2026-01-15,2026-01-15,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning (CBO),1-day click,Account Opening,517.80,151220,149,1,110391,1.37
2026-01-22,2026-01-22,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Reach_Story_InvestmentsTease,Learning,1-day click,Account Opening,432.34,194331,199,0,128258,1.52
2026-01-25,2026-01-25,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Reach_Story_InvestmentsTease,Learning (CBO),1-day click,Account Opening,526.07,250607,33,0,190461,1.32
2026-01-28,2026-01-28,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Reach_Story_InvestmentsTease,Learning (CBO),1-day click,Account Opening,1251.78,201475,97,2,171254,1.18
2026-01-31,2026-01-31,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Reach_Story_InvestmentsTease,Learning (CBO),1-day click,Account Opening,1188.90,431616,132,2,328028,1.32
2026-01-13,2026-01-13,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Awareness_Reel_Unboxing_Card,Active,1-day click,Account Opening,1679.31,359524,148,3,255262,1.41
2026-01-16,2026-01-16,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Awareness_Reel_Unboxing_Card,Active,1-day click,Account Opening,2902.00,353131,187,5,229535,1.54
2026-01-19,2026-01-19,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Awareness_Reel_Unboxing_Card,Active,1-day click,Account Opening,1824.20,333163,50,4,276525,1.20
2026-01-22,2026-01-22,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Awareness_Reel_Unboxing_Card,Active,1-day click,Account Opening,2118.96,218473,161,4,144192,1.52
2026-01-25,2026-01-25,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Awareness_Reel_Unboxing_Card,Active,1-day click,Account Opening,3277.60,80617,187,8,55626,1.45
2026-01-28,2026-01-28,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Awareness_Reel_Unboxing_Card,Active,1-day click,Account Opening,1836.39,240026,66,3,175219,1.37
2026-01-31,2026-01-31,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Awareness_Reel_Unboxing_Card,Active,1-day click,Account Opening,1031.22,225433,131,2,182601,1.23
2026-02-03,2026-02-03,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Awareness_Reel_Unboxing_Card,Active,1-day click,Account Opening,2980.88,242855,187,7,196713,1.23
2026-01-13,2026-01-13,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_TopOfMind_StaticBanner_TrustPilot,Active,1-day click,Account Opening,3279.54,344038,114,6,285552,1.20
2026-01-16,2026-01-16,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_TopOfMind_StaticBanner_TrustPilot,Completed,1-day click,Account Opening,3183.30,382164,171,5,294266,1.30
2026-01-19,2026-01-19,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_TopOfMind_StaticBanner_TrustPilot,Active,1-day click,Account Opening,1295.18,210514,156,2,134729,1.56
2026-01-22,2026-01-22,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_TopOfMind_StaticBanner_TrustPilot,Active,1-day click,Account Opening,2869.80,129119,81,5,98130,1.32
2026-01-25,2026-01-25,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_TopOfMind_StaticBanner_TrustPilot,Active,1-day click,Account Opening,1787.00,370307,95,4,225887,1.64
2026-01-28,2026-01-28,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_TopOfMind_StaticBanner_TrustPilot,Active,1-day click,Account Opening,5080.64,300951,76,8,198628,1.52
2026-01-31,2026-01-31,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_TopOfMind_StaticBanner_TrustPilot,Active,1-day click,Account Opening,2483.88,354105,140,6,279743,1.27
2026-02-03,2026-02-03,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_TopOfMind_StaticBanner_TrustPilot,Active,1-day click,Account Opening,2369.56,314957,38,4,258265,1.22
2026-01-13,2026-01-13,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Consideration_Video_30s_CashbackExplainer,Active,1-day click,Account Opening,2480.40,166589,165,4,114946,1.45
2026-01-16,2026-01-16,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Consideration_Video_30s_CashbackExplainer,Active,1-day click,Account Opening,2822.61,233078,114,7,165485,1.41
2026-01-19,2026-01-19,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Consideration_Video_30s_CashbackExplainer,Active,1-day click,Account Opening,1410.81,407966,35,3,269258,1.52
2026-01-22,2026-01-22,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Consideration_Video_30s_CashbackExplainer,Active,1-day click,Account Opening,3861.48,86656,123,6,68458,1.27
2026-01-25,2026-01-25,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Consideration_Video_30s_CashbackExplainer,Active,1-day click,Account Opening,960.30,268193,140,2,222600,1.20
2026-01-28,2026-01-28,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Consideration_Video_30s_CashbackExplainer,Active,1-day click,Account Opening,834.78,280924,53,2,171364,1.64
2026-01-31,2026-01-31,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Consideration_Video_30s_CashbackExplainer,Active,1-day click,Account Opening,1937.60,150860,193,5,113145,1.33
2026-02-03,2026-02-03,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_35-54_BankingSwitchers,Nu_Brand_Consideration_Video_30s_CashbackExplainer,Active,1-day click,Account Opening,3534.16,304326,118,7,258677,1.18
2026-01-12,2026-01-12,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Reach_Carousel_DigitalFirst,Learning Limited,1-day click,Account Opening,341.65,179936,97,0,140350,1.28
2026-01-15,2026-01-15,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Reach_Carousel_DigitalFirst,Learning (CBO),1-day click,Account Opening,1174.10,240121,90,2,182492,1.32
2026-01-18,2026-01-18,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Reach_Carousel_DigitalFirst,Learning (CBO),1-day click,Account Opening,879.30,188314,183,2,139352,1.35
2026-01-21,2026-01-21,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Reach_Carousel_DigitalFirst,Learning Limited,1-day click,Account Opening,1042.22,114872,58,2,94195,1.22
2026-01-24,2026-01-24,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Reach_Carousel_DigitalFirst,Learning (CBO),1-day click,Account Opening,1256.12,241693,87,2,176436,1.37
2026-01-27,2026-01-27,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Reach_Carousel_DigitalFirst,Learning (CBO),1-day click,Account Opening,500.37,127297,194,1,86562,1.47
2026-01-30,2026-01-30,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Reach_Carousel_DigitalFirst,Learning,1-day click,Account Opening,488.50,343704,162,0,261215,1.32
2026-02-02,2026-02-02,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Reach_Carousel_DigitalFirst,Learning (CBO),1-day click,Account Opening,557.66,185837,136,0,135661,1.37
2026-02-05,2026-02-05,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Reach_Carousel_DigitalFirst,Learning (CBO),1-day click,Account Opening,343.93,272534,84,0,196224,1.39
2026-01-12,2026-01-12,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Awareness_Story_PurpleVibes,Learning (CBO),1-day click,Account Opening,345.61,299670,185,0,197782,1.52
2026-01-15,2026-01-15,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Awareness_Story_PurpleVibes,Learning,1-day click,Account Opening,1203.38,194188,160,2,128164,1.52
2026-01-18,2026-01-18,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Awareness_Story_PurpleVibes,Learning (CBO),1-day click,Account Opening,842.72,399331,107,2,335438,1.19
2026-01-21,2026-01-21,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Awareness_Story_PurpleVibes,Learning (CBO),1-day click,Account Opening,1184.82,320025,89,3,208016,1.54
2026-01-24,2026-01-24,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Awareness_Story_PurpleVibes,Learning Limited,1-day click,Account Opening,223.82,308143,74,0,258840,1.19
2026-01-27,2026-01-27,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Awareness_Story_PurpleVibes,Learning Limited,1-day click,Account Opening,584.21,249472,43,0,169641,1.47
2026-01-30,2026-01-30,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Awareness_Story_PurpleVibes,Learning (CBO),1-day click,Account Opening,418.23,367889,44,0,246486,1.49
2026-02-02,2026-02-02,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Awareness_Story_PurpleVibes,Learning (CBO),1-day click,Account Opening,525.90,256699,169,0,202792,1.27
2026-02-05,2026-02-05,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Awareness_Story_PurpleVibes,Learning Limited,1-day click,Account Opening,393.71,370632,32,0,300212,1.23
2026-01-12,2026-01-12,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_TopOfMind_Reel_NubankVsTradBanks,Learning Limited,1-day click,Account Opening,411.56,251233,176,0,213548,1.18
2026-01-15,2026-01-15,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_TopOfMind_Reel_NubankVsTradBanks,Learning (CBO),1-day click,Account Opening,524.50,433181,80,0,363872,1.19
2026-01-18,2026-01-18,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_TopOfMind_Reel_NubankVsTradBanks,Learning,1-day click,Account Opening,273.92,302767,192,0,190743,1.59
2026-01-21,2026-01-21,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_TopOfMind_Reel_NubankVsTradBanks,Learning (CBO),1-day click,Account Opening,528.95,427309,70,0,273478,1.56
2026-01-24,2026-01-24,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_TopOfMind_Reel_NubankVsTradBanks,Learning Limited,1-day click,Account Opening,544.49,302459,127,0,196598,1.54
2026-01-27,2026-01-27,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_TopOfMind_Reel_NubankVsTradBanks,Learning (CBO),1-day click,Account Opening,491.93,307693,110,0,255385,1.20
2026-01-30,2026-01-30,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_TopOfMind_Reel_NubankVsTradBanks,Learning,1-day click,Account Opening,178.84,365793,42,0,256055,1.43
2026-02-02,2026-02-02,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_TopOfMind_Reel_NubankVsTradBanks,Learning,1-day click,Account Opening,430.72,245020,32,0,178865,1.37
2026-02-05,2026-02-05,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_TopOfMind_Reel_NubankVsTradBanks,Learning Limited,1-day click,Account Opening,321.28,367543,78,0,264631,1.39
2026-01-12,2026-01-12,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Consideration_StaticBanner_SecurityFeatures,Learning Limited,1-day click,Account Opening,1093.96,321225,37,2,263405,1.22
2026-01-15,2026-01-15,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Consideration_StaticBanner_SecurityFeatures,Learning Limited,1-day click,Account Opening,370.84,284816,134,0,227853,1.25
2026-01-18,2026-01-18,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Consideration_StaticBanner_SecurityFeatures,Learning,1-day click,Account Opening,387.64,163569,181,0,135762,1.20
2026-01-21,2026-01-21,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Consideration_StaticBanner_SecurityFeatures,Learning (CBO),1-day click,Account Opening,1881.30,421687,112,3,350000,1.20
2026-01-24,2026-01-24,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Consideration_StaticBanner_SecurityFeatures,Learning,1-day click,Account Opening,582.96,233653,186,1,186922,1.25
2026-01-27,2026-01-27,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Consideration_StaticBanner_SecurityFeatures,Learning (CBO),1-day click,Account Opening,281.42,398480,55,0,286906,1.39
2026-01-30,2026-01-30,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Consideration_StaticBanner_SecurityFeatures,Learning (CBO),1-day click,Account Opening,905.66,131276,192,2,99770,1.32
2026-02-02,2026-02-02,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Consideration_StaticBanner_SecurityFeatures,Learning,1-day click,Account Opening,920.08,172574,181,2,141511,1.22
2026-02-05,2026-02-05,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_AllAdults_TopCities,Nu_Brand_Consideration_StaticBanner_SecurityFeatures,Learning (CBO),1-day click,Account Opening,546.37,97616,86,0,67355,1.45
2026-01-12,2026-01-12,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Reach_Video_15s_PIX_Fast,Learning (CBO),1-day click,Account Opening,549.44,196774,47,0,131839,1.49
2026-01-15,2026-01-15,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Reach_Video_15s_PIX_Fast,Learning,1-day click,Account Opening,1359.51,180885,187,3,113958,1.59
2026-01-18,2026-01-18,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Reach_Video_15s_PIX_Fast,Learning (CBO),1-day click,Account Opening,447.24,98668,71,0,74988,1.32
2026-01-21,2026-01-21,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Reach_Video_15s_PIX_Fast,Learning (CBO),1-day click,Account Opening,503.63,323640,171,1,255676,1.27
2026-01-24,2026-01-24,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Reach_Video_15s_PIX_Fast,Learning Limited,1-day click,Account Opening,892.80,314333,54,2,254610,1.23
2026-01-27,2026-01-27,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Reach_Video_15s_PIX_Fast,Learning Limited,1-day click,Account Opening,524.41,313166,69,0,231743,1.35
2026-01-30,2026-01-30,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Reach_Video_15s_PIX_Fast,Learning,1-day click,Account Opening,254.29,276552,112,0,204648,1.35
2026-01-12,2026-01-12,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Awareness_Carousel_Awards,Learning (CBO),1-day click,Account Opening,535.57,228729,133,0,157823,1.45
2026-01-15,2026-01-15,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Awareness_Carousel_Awards,Learning (CBO),1-day click,Account Opening,277.90,420917,51,0,307269,1.37
2026-01-18,2026-01-18,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Awareness_Carousel_Awards,Learning Limited,1-day click,Account Opening,599.41,228306,139,1,171230,1.33
2026-01-21,2026-01-21,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Awareness_Carousel_Awards,Learning Limited,1-day click,Account Opening,1192.88,360408,33,2,255890,1.41
2026-01-24,2026-01-24,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Awareness_Carousel_Awards,Learning,1-day click,Account Opening,1537.53,339711,93,3,281960,1.20
2026-01-27,2026-01-27,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Awareness_Carousel_Awards,Learning Limited,1-day click,Account Opening,621.40,277957,186,1,197349,1.41
2026-01-30,2026-01-30,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_Awareness_Carousel_Awards,Learning,1-day click,Account Opening,244.44,120601,99,0,79597,1.52
2026-01-12,2026-01-12,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_TopOfMind_Story_50MClients,Learning,1-day click,Account Opening,270.80,383986,57,0,307189,1.25
2026-01-15,2026-01-15,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_TopOfMind_Story_50MClients,Learning (CBO),1-day click,Account Opening,1026.82,365927,179,2,278105,1.32
2026-01-18,2026-01-18,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_TopOfMind_Story_50MClients,Learning Limited,1-day click,Account Opening,566.54,403730,185,0,266462,1.52
2026-01-21,2026-01-21,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_TopOfMind_Story_50MClients,Learning,1-day click,Account Opening,1081.82,328725,111,2,200522,1.64
2026-01-24,2026-01-24,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_TopOfMind_Story_50MClients,Learning Limited,1-day click,Account Opening,1908.45,442090,184,3,362514,1.22
2026-01-27,2026-01-27,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_TopOfMind_Story_50MClients,Learning Limited,1-day click,Account Opening,800.50,182126,34,2,140237,1.30
2026-01-30,2026-01-30,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_18-44_HighIncome,Nu_Brand_TopOfMind_Story_50MClients,Learning (CBO),1-day click,Account Opening,578.97,164358,114,1,106833,1.54
2026-01-14,2026-01-14,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Consideration_Reel_AppWalkthrough,Learning Limited,1-day click,Account Opening,843.80,257469,96,2,185378,1.39
2026-01-17,2026-01-17,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Consideration_Reel_AppWalkthrough,Learning Limited,1-day click,Account Opening,392.62,392983,85,0,290807,1.35
2026-01-20,2026-01-20,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Consideration_Reel_AppWalkthrough,Learning Limited,1-day click,Account Opening,1929.00,291545,187,3,212828,1.37
2026-01-23,2026-01-23,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Consideration_Reel_AppWalkthrough,Learning (CBO),1-day click,Account Opening,599.37,312457,156,0,209346,1.49
2026-01-26,2026-01-26,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Consideration_Reel_AppWalkthrough,Learning Limited,1-day click,Account Opening,1108.72,145659,199,2,116527,1.25
2026-01-29,2026-01-29,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Consideration_Reel_AppWalkthrough,Learning (CBO),1-day click,Account Opening,415.42,294949,80,0,244808,1.20
2026-02-01,2026-02-01,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Consideration_Reel_AppWalkthrough,Learning (CBO),1-day click,Account Opening,1464.27,271094,73,3,181633,1.49
2026-01-14,2026-01-14,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Reach_StaticBanner_ZeroFees_v2,Learning Limited,1-day click,Account Opening,537.97,103129,159,0,63940,1.61
2026-01-17,2026-01-17,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Reach_StaticBanner_ZeroFees_v2,Learning Limited,1-day click,Account Opening,1236.04,430958,41,2,284432,1.52
2026-01-20,2026-01-20,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Reach_StaticBanner_ZeroFees_v2,Learning Limited,1-day click,Account Opening,1257.16,425085,141,2,280556,1.52
2026-01-23,2026-01-23,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Reach_StaticBanner_ZeroFees_v2,Learning,1-day click,Account Opening,504.87,275763,142,0,198549,1.39
2026-01-26,2026-01-26,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Reach_StaticBanner_ZeroFees_v2,Learning,1-day click,Account Opening,240.50,82494,41,0,57746,1.43
2026-01-29,2026-01-29,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Reach_StaticBanner_ZeroFees_v2,Learning,1-day click,Account Opening,253.02,399275,130,0,243558,1.64
2026-02-01,2026-02-01,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Reach_StaticBanner_ZeroFees_v2,Learning Limited,1-day click,Account Opening,461.38,143961,164,0,99333,1.45
2026-01-14,2026-01-14,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Awareness_Video_6s_LogoReveal,Learning,1-day click,Account Opening,292.01,134266,182,0,104727,1.28
2026-01-17,2026-01-17,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Awareness_Video_6s_LogoReveal,Learning,1-day click,Account Opening,247.33,126630,186,0,107636,1.18
2026-01-20,2026-01-20,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Awareness_Video_6s_LogoReveal,Learning (CBO),1-day click,Account Opening,360.71,341835,53,0,290560,1.18
2026-01-23,2026-01-23,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Awareness_Video_6s_LogoReveal,Learning (CBO),1-day click,Account Opening,1287.60,319648,143,2,233343,1.37
2026-01-26,2026-01-26,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Awareness_Video_6s_LogoReveal,Learning Limited,1-day click,Account Opening,284.06,246106,96,0,174735,1.41
2026-01-29,2026-01-29,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Awareness_Video_6s_LogoReveal,Learning (CBO),1-day click,Account Opening,887.28,344428,197,2,289320,1.19
2026-02-01,2026-02-01,Nubank | Top of Mind | Reach & Frequency | Q1,Branding,BR_25-44_CompetitorAudience,Nu_Brand_Awareness_Video_6s_LogoReveal,Learning (CBO),1-day click,Account Opening,327.06,279901,40,0,179137,1.56
2026-01-13,2026-01-13,Nubank | Brand Lift | Awareness | Feb,Branding,BR_18-34_NewUsers_Lookalike,Nu_Brand_TopOfMind_Carousel_Sustainability,Learning,1-day click,Account Opening,536.88,290425,137,0,235244,1.23
2026-01-16,2026-01-16,Nubank | Brand Lift | Awareness | Feb,Branding,BR_18-34_NewUsers_Lookalike,Nu_Brand_TopOfMind_Carousel_Sustainability,Learning Limited,1-day click,Account Opening,1275.66,361731,88,2,285767,1.27
2026-01-19,2026-01-19,Nubank | Brand Lift | Awareness | Feb,Branding,BR_18-34_NewUsers_Lookalike,Nu_Brand_TopOfMind_Carousel_Sustainability,Learning,1-day click,Account Opening,1180.00,426886,193,2,324433,1.32
2026-01-22,2026-01-22,Nubank | Brand Lift | Awareness | Feb,Branding,BR_18-34_NewUsers_Lookalike,Nu_Brand_TopOfMind_Carousel_Sustainability,Learning Limited,1-day click,Account Opening,1117.58,142347,110,2,112454,1.27
2026-01-25,2026-01-25,Nubank | Brand Lift | Awareness | Feb,Branding,BR_18-34_NewUsers_Lookalike,Nu_Brand_TopOfMind_Carousel_Sustainability,Learning Limited,1-day click,Account Opening,411.30,240216,100,0,180162,1.33
2026-01-13,2026-01-13,Nubank | Brand Lift | Awareness | Feb,Branding,BR_18-34_NewUsers_Lookalike,Nu_Brand_Consideration_Story_Savings_Feature,Learning (CBO),1-day click,Account Opening,404.39,376363,155,0,286036,1.32
2026-01-16,2026-01-16,Nubank | Brand Lift | Awareness | Feb,Branding,BR_18-34_NewUsers_Lookalike,Nu_Brand_Consideration_Story_Savings_Feature,Learning,1-day click,Account Opening,369.74,415049,90,0,282233,1.47
2026-01-19,2026-01-19,Nubank | Brand Lift | Awareness | Feb,Branding,BR_18-34_NewUsers_Lookalike,Nu_Brand_Consideration_Story_Savings_Feature,Learning,1-day click,Account Opening,1205.38,345923,38,2,245605,1.41
2026-01-22,2026-01-22,Nubank | Brand Lift | Awareness | Feb,Branding,BR_18-34_NewUsers_Lookalike,Nu_Brand_Consideration_Story_Savings_Feature,Learning Limited,1-day click,Account Opening,482.63,166897,176,0,126842,1.32
2026-01-25,2026-01-25,Nubank | Brand Lift | Awareness | Feb,Branding,BR_18-34_NewUsers_Lookalike,Nu_Brand_Consideration_Story_Savings_Feature,Learning Limited,1-day click,Account Opening,237.37,370918,162,0,248515,1.49
